,ativo,close
284210,DMMO11,0.49
547067,OIBR4,1.35
747405,TPIS3,1.72
706698,SLED4,1.72
38490,ATOM3,1.8
723219,TCSA3,1.84
284211,DMMO3,1.93
494707,LUPA3,2.5
404293,IGBR3,2.82
393558,HOOT4,2.95
739385,TIET4,2.97
656215,RNEW4,3.42
551645,OSXB3,3.7
734363,TIET3,3.79
701892,SLED3,3.8
629735,RANI3,4.03
458081,KLBN4,4.07
634537,RANI4,4.13
454271,KLBN3,4.16
381972,HBOR3,4.17
595376,POMO3,4.18
654623,RNEW3,4.72
600294,POMO4,4.74
656923,RPMG3,4.89
63239,BBRK3,5.07
723023,TASA3,5.31
723169,TASA4,5.85
614524,PTBL3,5.87
72720,BEEF11,6.06
125682,BSEV3,6.07
309372,ETER3,6.1
345114,FRAS3,6.77
287744,EALT4,6.95
198146,CIEL3,7.01
314688,EUCA4,7.48
715906,STBP3,7.52
417030,INEP4,7.9
447220,JHSF3,7.92
561987,PDGR3,7.93
412331,INEP3,7.95
154796,CEDO4,8.0
358743,GFSA3,8.25
478298,LIQO3,8.52
605241,POSI3,8.54
661814,RSID3,8.82
486859,LPSB3,8.83
134872,CAML3,8.86
131866,BTTL3,9.0
823041,WHRL3,9.13
24696,ALUP4,9.2
781776,USIM5,9.41
362629,GOAU4,9.49
80805,BMGB4,9.51
86359,BPAN4,9.55
827998,WHRL4,9.65
347449,GBIO33,9.92
776766,USIM3,10.02
268345,CTNM4,10.07
722344,TAEE4,10.32
786710,USIM6,10.5
719986,TAEE3,10.58
514129,MRFG3,10.68
636629,RAPT3,11.03
72721,BEEF3,11.12
222220,COGN3,11.17
135451,CARD3,11.43
23870,ALUP3,11.47
654574,RNEW11,11.5
285412,EALT3,11.51
371343,GRND3,11.61
696836,SHUL4,11.82
9662,AFLT3,12.22
429392,ITSA4,12.83
247378,CSNA3,12.84
25539,AMAR3,12.91
424397,ITSA3,13.12
641456,RAPT4,13.51
50117,BALM4,13.55
646408,RDNI3,13.84
263481,CTNM3,13.9
809582,VVAR3,13.95
259154,CTKA4,14.1
209520,CMIG4,14.98
114966,BRPR3,15.22
76416,BIOM3,15.23
75864,BIDI3,15.53
734314,TIET11,15.71
75992,BIDI4,15.94
150384,CEAB3,16.1
279703,DIRR3,16.25
740381,TIMP3,16.48
204497,CMIG3,16.48
68162,BDLL4,16.52
318770,EVEN3,16.61
481831,LLIS3,17.46
538108,ODPV3,17.62
2771,ABEV3,18.04
806185,VLID3,18.23
111805,BRML3,18.4
144003,CCRO3,18.55
12481,AGRO3,18.78
337673,FESA4,19.57
681323,SAPR4,19.9
122786,BRSR6,20.16
517230,MRVE3,20.16
454222,KLBN11,20.41
314389,EUCA3,20.5
511536,MOVI3,20.64
673900,SANB4,20.7
653254,RLOG3,20.88
0,AALR3,21.47
669036,SANB3,21.55
529045,MYPK3,22.0
678869,SAPR3,22.05
755261,TRPL4,22.17
460434,LAME3,22.48
117411,BRSR3,22.77
628536,RAIL3,23.02
244782,CRFB3,23.02
470307,LCAM3,24.01
712702,SMTO3,25.0
760217,UGPA3,25.24
582286,PMAM3,25.45
384996,HGTX3,25.52
534061,NEOE3,26.21
444058,JBSS3,26.56
465444,LAME4,27.08
750495,TRPL3,27.3
332828,FESA3,28.05
99627,BRDT3,28.11
731423,TELB4,28.35
571993,PETR4,28.41
32095,APER3,28.44
434337,ITUB3,29.2
23821,ALUP11,30.06
566977,PETR3,30.1
554085,PARD3,30.29
187114,CGRA3,30.3
694236,SEER3,30.6
342619,FLRY3,30.66
796113,VIVA3,30.75
472232,LEVE3,30.97
55305,BBDC3,31.12
274687,CYRE3,31.13
719937,TAEE11,31.18
104458,BRKM5,31.23
486651,LOGG3,31.36
15783,ALPA3,31.55
166786,CESP3,32.08
174609,CESP6,32.14
439359,ITUB4,32.76
60311,BBDC4,32.81
191534,CGRA4,33.05
100150,BRKM3,33.1
476569,LINX3,33.69
367503,GOLL4,33.7
507469,MNDL3,34.0
525955,MULT3,34.1
769877,UNIP6,34.45
399362,HYPE3,34.84
89832,BRAP3,34.92
66258,BBSE3,35.16
273165,CVCB3,35.53
20739,ALPA4,36.34
94826,BRAP4,37.03
768003,UNIP5,37.6
228120,CPFE3,37.88
30544,ANIM3,37.89
711025,SMLS3,38.22
763028,UNIP3,38.89
214473,CNTO3,39.67
718192,SUZB3,40.41
816279,WEGE3,40.82
621386,QUAL3,40.84
500119,MDIA3,41.45
666824,SANB11,42.31
541358,OFSA3,42.55
421898,IRBR3,43.38
349996,GEPA3,43.51
301625,ENEV3,43.88
608485,PRIO3,45.48
538081,NTCO3,46.74
75815,BIDI11,47.26
47783,B3SA3,47.82
50290,BBAS3,48.57
354816,GEPA4,49.01
786980,VALE3,50.23
828326,YDUQ3,50.64
23675,ALSO3,51.63
297147,EGIE3,52.11
689225,SCAR3,52.51
409128,IGTA3,52.6
796187,VIVT3,52.74
649618,RENT3,53.11
348075,GEOO34,53.65
200906,CLSC4,55.02
323885,EZTC3,55.03
503397,MGLU3,55.15
47087,AZUL4,57.94
490097,LREN3,58.18
801190,VIVT4,59.58
684043,SBSP3,60.73
36271,ARZZ3,61.57
217027,COCE5,62.42
610769,PSSA3,65.3
377024,GSHP3,66.94
321937,EXXO34,68.0
238219,CPLE6,72.79
743972,TOTS3,73.51
232996,CPLE3,77.33
559049,PCAR4,84.0
726430,TELB3,97.0
678820,SAPR11,102.08
623514,RADL3,125.15
809,AAPL34,137.6
182506,CGAS5,203.7
422520,ITLC34,280.0
512206,MRCK34,369.0
587309,PNVL3,600.0
