ativo,volume
PETR4,546490375.3019137
BRAP4,82068758.852739
PETR3,79378019.26874003
ITUB4,46267121.503724195
ITSA4,14912544.675631952
USIM5,14152883.401094446
BBDC4,14037677.307035519
BRAP3,12672790.894873848
CSNA3,12319939.809219716
B3SA3,11750202.599535963
TIET3,11732421.234767025
TELB4,11451901.17087513
LREN3,11396664.08438178
NTCO3,10982933.333333334
COGN3,10071833.942110656
MGLU3,8739224.334102446
CIEL3,8615071.00382995
VALE3,8057959.743353988
RENT3,7241089.394939494
RAIL3,7191921.326105088
KLBN4,6976861.051848704
OIBR3,6494356.454090909
BBAS3,6376636.410967099
JBSS3,6328839.708096142
CCRO3,5838738.566748384
CEGR3,5528570.065474909
BRDT3,5121457.361376673
ABEV3,4987009.584070796
BBSE3,4527741.014907573
GOAU4,4494181.877077775
BRML3,4186948.947484973
CMIG4,4143862.8556430447
KLBN11,4111746.93877551
IRBR3,4034729.2604501606
MRVE3,3858848.642695173
LAME4,3337727.033724039
BIDI4,3244164.3844339624
NEOE3,3224178.0821917807
CYRE3,3103061.769338118
CRFB3,2972392.368839428
TIMP3,2672149.2428292953
MRFG3,2585803.118993873
YDUQ3,2581402.0547945206
BBDC3,2507020.9628445865
HYPE3,2505676.777471581
POMO4,2490257.0946027897
BMGB4,2450453.846153846
UGPA3,2346847.1607968695
INEP4,2346277.9490550533
SANB11,2252292.6880650995
GOLL4,2144184.0307291667
QUAL3,2090381.7171052631
OIBR4,1921797.906002265
AZUL4,1820443.5344827587
VVAR3,1796873.647736798
SUZB3,1793440.4011461318
CEAB3,1780252.6315789474
MULT3,1765799.2786407766
VIVA3,1765795.945945946
TCSA3,1764955.5079414512
BRKM5,1760015.043518734
TIET11,1695846.9387755103
TAEE11,1648012.2448979593
TASA4,1594968.0
BMGB11,1489633.3333333333
ODPV3,1397808.6086153847
WEGE3,1304372.3927760578
BRPR3,1279897.4511247445
EVEN3,1252995.2503946952
MOVI3,1204268.5865671642
CESP6,1204210.1098074608
CAML3,1197426.4248704663
GRND3,1151316.3688131985
CPFE3,1089321.8158326498
CNTO3,1055718.8775510204
RAPT4,1001533.584006462
BEEF3,994186.5950226245
AGRO3,958637.0505754089
BRSR6,955437.8884668509
FLRY3,944162.6124248496
PCAR4,942674.2086453369
SBSP3,928960.2520924672
TOTS3,920328.0667055054
ALSO3,908000.6849315069
HBOR3,906932.0327380953
CVCB3,900822.1550591327
RAPT3,888667.3175885644
EGIE3,848352.9953104064
VIVT4,845014.1237237237
SMLS3,832797.0047704234
BIDI11,805218.3673469388
TRPL4,803464.841606134
LINX3,793212.3071139387
PRIO3,756327.142732049
ALUP11,737848.9795918367
JHSF3,735214.2933713923
GFSA3,695493.0972722594
ALPA4,676222.7135558584
CPLE6,651556.4025895206
HGTX3,643487.1079122206
PSSA3,620040.7456724368
LCAM3,618136.988051948
BPAN4,607078.1242524917
EZTC3,596758.6904532305
RADL3,593259.0943847073
SAPR11,586269.387755102
IGTA3,578309.2219793943
SMTO3,565110.1029962547
SEER3,558153.3890322581
STBP3,552243.6570428696
DIRR3,531311.0451306413
USIM3,503001.5285429142
SAPR4,501118.2345588235
PARD3,448658.231292517
RLOG3,445370.00757575757
MDIA3,442947.60067114094
VLID3,441386.38504562847
ITUB3,436669.5525686977
AMAR3,421144.5517013545
LAME3,380308.4974051896
DMMO3,371038.9575353872
ITSA3,354642.4286286286
GBIO33,352377.4760383387
POSI3,344251.7490752158
TPIS3,332188.11132686085
ANIM3,321514.7698259188
MYPK3,314750.7727272727
LPSB3,296205.48517603456
BIDI3,261626.5625
LOGG3,257458.65384615384
AALR3,251699.75278121137
ARZZ3,251315.0428120775
CMIG3,245148.640453912
UNIP6,207388.06300484654
SANB4,206418.88333333333
CARD3,179620.73027090696
ENEV3,177025.69906479627
TIET4,167838.26305220884
RSID3,166385.45109780438
TASA3,165520.54794520547
FESA4,160301.7804286292
PTBL3,143921.46030473136
CGRA4,136486.3910912191
SLED4,126831.52807950081
BEEF11,122400.0
BBRK3,118222.13116926134
LEVE3,113766.60940742449
ETER3,103320.18377516443
PDGR3,93628.97462406015
DMMO11,89100.0
ALPA3,82917.32889426957
POMO3,81634.49369662465
RPMG3,71460.99304845635
LUPA3,67851.4705882353
RDNI3,59642.60872274143
WHRL4,59041.818181818184
CPRE3,58657.92345679012
EUCA4,57095.849583537485
SHUL4,55634.84321340965
ATOM3,55062.175253093366
RANI3,47388.71720116618
CGAS5,44241.45746527778
FRAS3,43148.65610278372
COCE5,41559.897399717796
CPLE3,40542.12863153677
IGBR3,39350.005997931745
LLIS3,39012.86117809163
APER3,37117.91838525669
VIVT3,35344.838097141714
BSEV3,33971.52199762188
PMAM3,32545.97571172606
SCAR3,28234.464977050488
OFSA3,21769.87012987013
RNEW4,21761.228813559323
RNEW11,21500.0
CTNM4,20034.09979253112
CLSC4,19016.001517450684
EALT4,17527.324468085106
ALUP3,16730.629539951573
HOOT4,16080.867215645909
CCXC3,15760.617740232312
SANB3,14892.297491776315
AAPL34,14163.311926605504
KLBN3,14050.82152230971
OSXB3,12612.03155737705
AVON34,12557.767722473605
SAPR3,12291.55990220049
CGRA3,12052.62036199095
ALUP4,10930.486358244365
BRKM3,10280.261838440112
TAEE4,9090.279823269513
UNIP3,7784.380301507537
CESP3,6469.370362903226
ESTR4,5158.258994319377
CTKA4,5031.964409521608
BIOM3,4821.014383561644
CGAS3,4461.323420074349
RNEW3,4241.106783919598
LIQO3,4114.029153693745
GSHP3,3892.177618737801
UNIP5,3814.824439701174
WHRL3,3356.687714343353
CMCS34,2869.5154894671623
MNDL3,2841.306368330465
QCOM34,2759.701173959445
BDLL4,2518.8723124177272
SLED3,2492.2808988764045
GSGI34,2458.569422776911
JPMC34,2246.9484375
WALM34,2244.27012987013
CEPE5,2074.22649140546
BOAC34,2050.0
MSFT34,2009.7127713276122
IBMB34,1936.6854043392505
EXXO34,1911.3418891170431
BRSR3,1908.997137599673
EUCA3,1790.6354515050168
INEP3,1769.3783783783783
GEOO34,1695.2561166059345
CSCO34,1658.89069649212
CTGP34,1646.2125453602903
MRCK34,1645.0130005200208
WFCO34,1568.9478351591029
PNVL3,1443.8176494345719
TELB3,1437.1193671139595
TAEE3,1423.3672603901612
GEPA3,1416.9545643153526
COCA34,1412.406696208764
CEBR3,1412.3853211009175
MCDC34,1397.9683445770627
ITLC34,1367.4272775705913
FDMO34,1258.7193531559728
HOME34,1254.8838874680307
BALM4,1253.179190751445
GEPA4,1243.9009421950598
CATP34,1238.2095
PFIZ34,1224.8259067357512
MMMC34,1182.2383202099738
CEDO4,1090.6327180140038
MAPT4,1028.8235294117646
VISA34,1005.7238239757207
BTTL3,999.418496340652
AFLT3,996.3965945370699
CEBR6,976.1609907120743
TRPL3,964.2427612253462
DISB34,916.9893992932862
SBUB34,916.4634146341464
NIKE34,885.263
RANI4,832.0363288718929
EBAY34,807.8349514563107
CESP5,759.7561997904296
JNJB34,749.1373768792121
ORCL34,740.4907975460122
CEBR5,733.6861768368618
ATTB34,703.0980490245123
ABTT34,691.2131318394997
CTNM3,618.100740131579
PEPB34,588.1935483870968
CHVX34,567.6140625
COPH34,518.1083897863471
HPQB34,509.7497393117831
HALI34,491.57310565635004
MSCD34,482.035894843276
AMZO34,479.6713852376138
PGCO34,466.12928348909657
UPSS34,442.43675787299946
FCXO34,441.7925478348439
VERZ34,433.11412193850964
PCAR3,402.52731142113976
PNVL4,364.06356340288926
BRSR5,355.1652892561983
BMYB34,349.87775061124694
ARMT34,349.4654717975751
BRKM6,254.65573770491804
SLBG34,242.0731707317073
NFLX34,221.87833511205977
FESA3,200.77523219814242
BOEI34,192.1980146290491
XRXB34,179.14110429447854
AXPB34,176.82926829268294
MSBR34,172.78141751042287
EALT3,154.03945111492283
COLG34,151.60177427304092
CEDO3,116.65942028985508
LMTB34,105.23891497130934
HONB34,97.3780487804878
FDXB34,83.56661482633488
CEPE6,67.97797010228167
BSLI3,56.71638141809291
COCE3,55.35168195718654
USIM6,42.96296296296296
PHMO34,32.721311475409834
EEEL3,30.56171401956218
EEEL4,21.615099925980754
CTKA3,20.289495450785772
BALM3,17.877094972067038
CASN3,9.848542458808618
CLSC3,9.395973154362416
SHUL3,5.6
CEED3,3.896103896103896
BDLL3,2.643171806167401
CEED4,1.2269938650306749
BPAR3,1.079913606911447
BSLI4,0.0
CEPE3,0.0
GOLL11,0.0
VALE5,0.0
CPLE5,0.0
COCE6,0.0
